gene,AT2,Ciliated,Basal,AT1,Secretory,Goblet
AC022441.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
ITGA2,0.031187845,0.021140652,0.040525995,0.038866848,0.029807886,0.033129875
AC112198.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC034238.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC034238.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
CCNO,0.014245467,0.02032512,0.026537197,0.014156959,0.039125133,0.039711975
AC008940.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC106822.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02225,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
C5orf64-AS1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
HTR1A,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC024579.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC145141.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
MAP1B,0.017745022,0.025416736,0.017352633,0.018257793,0.020454368,0.016332366
LINC02230,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC01385,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
BTF3,0.05066544,0.04512978,0.060295,0.041694656,0.05370236,0.052552436
AC026774.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC108482.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC026782.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010486.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010486.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC016550.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC016550.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC016550.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02059,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC008539.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC008525.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC008525.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC099554.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
FAM81B,0.021920776,0.03789918,0.017313655,0.020363564,0.018236037,0.018400902
AC027315.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC011362.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010406.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC091917.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC01848,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
TMEM232,0.029397257,0.037688505,0.018544655,0.03308541,0.022257516,0.01905288
TSLP,0.025879636,0.012288985,0.035666138,0.0155872265,0.012508405,0.018630212
LINC02200,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC01957,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC094104.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC094104.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
FTMT,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC113349.1,0.012197957,0.020124944,0.012345967,0.012294859,0.012795283,0.012246371
AC025465.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC025465.4,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC025465.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC109464.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC109471.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010424.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
IL3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PDLIM4,0.020325122,0.030360818,0.033069603,0.02085655,0.032735337,0.032921325
SLC22A4,0.021037368,0.026873687,0.019463055,0.027498657,0.023474596,0.022078777
AC113410.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
WSPAR,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PITX1,0.0126664005,0.018598704,0.036742304,0.012294859,0.02116991,0.035674658
DCANP1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
CXCL14,0.01677272,0.0139958635,0.033927392,0.0155872265,0.012280208,0.027031433
NME5,0.028684387,0.04223932,0.022756608,0.027969936,0.02419845,0.02524726
IK,0.038549703,0.050288662,0.0380413,0.035929967,0.03639202,0.034956556
PCDHA2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC005618.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
SCGB3A2,0.047950517,0.021199852,0.01771871,0.03669443,0.050069116,0.023015188
AC011352.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC011352.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
FAT2,0.013536334,0.012586078,0.029698579,0.0149139,0.017877325,0.020734798
AC091962.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC025437.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC091979.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
FABP6,0.019130813,0.038735595,0.015505766,0.01788543,0.021813976,0.01649674
AC091944.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC091819.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC091820.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC008601.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
