gene,AT1,AT2,Basal,Ciliated,Goblet,Secretory,KRT5-/KRT17+
MARCKSL1,0.024808222,0.026440414,0.032151967,0.02150329,0.0376989,0.037704956,0.043166146
FNDC5,0.02242777,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,0.018180141
A3GALT2,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HMGB4,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
CSMD2-AS1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
C1orf94,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
TEKT2,0.023833688,0.023428837,0.022476938,0.03492697,0.024978409,0.024232052,0.025104754
OSCP1,0.03111868,0.03293474,0.02603656,0.034369428,0.027856601,0.024325319,0.027307888
CSF3R,0.026829403,0.04305446,0.023551624,0.020091048,0.024323937,0.020957554,0.029644363
DNALI1,0.032789543,0.033237845,0.02695896,0.04070902,0.028420113,0.028572412,0.033496737
LINC01343,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
NT5C1A,-0.0048165284,0.02240609,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
MFSD2A,0.031002076,0.045917265,0.032765046,0.023861878,0.030908627,0.028410692,0.030696651
CCDC30,0.036227785,0.030894943,0.02617838,0.035609603,0.024172423,0.025730764,0.027197825
FAM183A,0.026672391,0.02756845,0.030688353,0.057246804,0.028143225,0.030732824,0.026289335
CFAP57,0.02565667,0.025956716,0.020381162,0.028916894,0.020707471,0.020260517,0.023090327
KLF18,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
TCTEX1D4,-0.0048165284,0.024038564,0.02564277,0.037383802,0.02509985,0.024489606,0.020367254
CCDC17,0.023720574,0.025806407,0.023938295,0.039126437,0.026835842,0.023602396,0.023445653
TSPAN1,0.03185365,0.03170795,0.04195318,0.058801245,0.05534711,0.04486156,0.03848131
AL356289.1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
AL445183.1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
DMRTB1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HSPB11,0.034225903,0.035022214,0.037429903,0.04142758,0.035045363,0.03451576,0.03269581
LDLRAD1,0.027054058,-0.004851742,0.026230229,0.039747227,0.026333861,0.023886155,0.022665495
CDCP2,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
DAB1-AS1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
TACSTD2,0.052003194,0.04010818,0.054764897,0.0424666,0.05362712,0.04882303,0.058094703
FGGY,0.035019953,0.047440905,0.03181813,0.02971119,0.034462776,0.036793623,0.0319372
C1orf87,0.021911794,-0.004851742,0.01859549,0.031148236,0.02001821,0.021645665,0.02047425
NFIA-AS2,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,0.018927302
FOXD3-AS1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,0.018411834
FOXD3,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,0.018927302
ROR1,0.053145766,0.037204593,0.02461611,0.019292427,0.02266338,0.027512964,0.029174313
TCTEX1D1,-0.0048165284,0.022976987,0.020043787,0.030758081,0.020404011,0.02376081,0.020630775
WDR78,0.031354375,0.028783899,0.02580687,0.03709788,0.027407793,0.023411686,0.026133742
C1orf141,0.023924608,-0.004851742,0.020556604,0.026189843,0.020210318,0.020260517,0.019858535
DEPDC1-AS1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,0.019734368,-0.0055836546
AL158839.1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
LRRC53,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
ERICH3,-0.0048165284,-0.004851742,0.024568588,0.04176285,0.022131348,0.024990952,0.022091255
LHX8,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
ASB17,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
ST6GALNAC5,0.051142417,0.029272994,0.020911602,-0.006021534,-0.0054996456,0.019173091,0.022784436
TTLL7,0.04202001,0.02737797,0.023915337,0.026966954,0.024382528,0.02722379,0.026354566
LINC01555,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
WDR63,0.030575976,0.024038564,0.020507736,0.031005144,0.020875603,0.021543138,0.022697866
LMO4,0.035996355,0.037406974,0.046927623,0.026007468,0.040777277,0.03599054,0.033211235
BARHL2,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
SETSIP,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
RPL5,0.044503722,0.05727443,0.057219632,0.04403364,0.050754786,0.052467838,0.05130659
F3,0.040393542,0.043376118,0.04977894,0.02454124,0.047697347,0.036088295,0.042128403
DPYD-AS2,-0.0048165284,-0.004851742,-0.0055885944,0.018591933,-0.0054996456,-0.005405569,-0.0055836546
MIR137HG,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,0.018180141
GPR88,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
LINC01349,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
LINC01307,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
OLFM3,-0.0048165284,-0.004851742,-0.0055885944,0.018844273,-0.0054996456,-0.005405569,-0.0055836546
NBPF4,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
NBPF6,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
FNDC7,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
SPATA42,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
C1orf194,0.025107222,0.025131552,0.02731431,0.057731114,0.028464252,0.030087715,0.02619841
KIAA1324,0.02188057,0.029168108,0.03464701,0.02428061,0.037176654,0.040637344,0.023637006
GPR61,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,0.018952083,-0.0055836546
UBL4B,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
SLC6A17,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PROK1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
KCNA10,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
CHI3L2,0.02501107,0.04135499,0.02649176,0.019496469,0.020935243,0.024489606,0.024563367
PIFO,0.030430956,0.033353057,0.027861537,0.052179527,0.028942548,0.028855477,0.031040777
LINC01160,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
KCND3-AS1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
RHOC,0.03489172,0.035370972,0.043523382,0.024951497,0.038540445,0.037002333,0.041486766
